node,cpu_energy_mj,lpm_energy_mj,radio_tx_energy_mj,radio_rx_energy_mj,node_time,total_sent,total_received,bytes_tx,bytes_rx,r2n_latency,lqi,rssi,server_sent,server_received,server_bytes_rx,n2r_latency,hops,rtt_latency,root_time_now,throughput1,throughput2
fd00::202:2:2:2,18,0,1,8,1526833,144,148,60,12,18384,100,-64,150,292,60,7,0,9472,1526840,2,2
fd00::202:2:2:2,18,0,0,9,1537364,145,149,60,12,18254,100,-64,151,294,60,46,0,9372,1537410,2,2
fd00::202:2:2:2,18,0,0,10,1547895,146,149,60,12,18254,100,-64,152,295,60,15,0,9372,1547910,3,3
fd00::202:2:2:2,18,0,0,9,1558426,147,150,60,12,28834,100,-64,153,297,60,54,0,14837,1558480,3,3
fd00::202:2:2:2,18,0,1,8,1568958,148,152,60,12,26194,100,-64,154,300,60,22,0,13272,1568980,2,2
fd00::202:2:2:2,18,0,0,10,1579488,149,152,60,12,26194,100,-64,155,301,60,62,0,13272,1579550,3,3
fd00::202:2:2:2,18,0,0,10,1590019,150,152,60,12,26194,100,-64,157,302,60,31,0,13272,1590050,5,5
fd00::202:2:2:2,18,0,0,9,1600550,151,153,60,12,47205,100,-64,158,304,60,420,0,23672,1600970,5,5
fd00::202:2:2:2,18,0,1,8,1611081,152,154,60,12,43854,100,-64,159,306,60,39,0,21997,1611120,5,5
fd00::202:2:2:2,18,0,0,9,1621612,153,155,60,12,44284,100,-64,160,308,60,8,0,22317,1621620,5,5
fd00::202:2:2:2,18,0,1,8,1632143,154,156,60,12,42754,100,-64,161,310,60,47,0,21517,1632190,5,5
fd00::202:2:2:2,18,0,1,8,1642674,155,157,60,12,42274,100,-64,162,312,60,226,0,22992,1642900,5,5
fd00::202:2:2:2,18,0,0,10,1653205,156,157,60,12,42274,100,-64,163,313,60,55,0,22992,1653260,6,6
fd00::202:2:2:2,18,0,1,9,1663736,157,157,60,12,42274,100,-64,164,314,60,24,0,22992,1663760,7,7
fd00::202:2:2:2,18,0,0,9,1674267,158,158,60,12,58115,100,-64,165,316,60,63,0,29337,1674330,7,7
fd00::202:2:2:2,18,0,0,10,1684798,159,158,60,12,58115,100,-64,166,317,60,32,0,29337,1684830,8,8
fd00::202:2:2:2,18,0,0,10,1695330,160,159,60,12,67714,100,-64,167,319,60,70,0,33997,1695400,8,8
fd00::202:2:2:2,18,0,1,9,1705861,161,160,60,12,73604,100,-64,168,321,60,3469,0,36977,1709330,8,8
fd00::202:2:2:2,18,0,1,9,1716392,162,161,60,12,73054,100,-64,169,323,60,148,0,36877,1716540,8,8
fd00::202:2:2:2,18,0,0,9,1726922,163,161,60,12,73054,100,-64,170,324,60,48,0,36877,1726970,9,9
fd00::202:2:2:2,18,0,1,9,1737454,164,163,60,12,76994,100,-64,171,327,60,16,0,38567,1737470,8,8
fd00::202:2:2:2,18,0,1,9,1747985,165,164,60,12,70494,100,-64,173,329,60,2225,0,35562,1750210,9,9
fd00::202:2:2:2,18,0,1,7,1758516,166,168,60,12,47506,100,-64,173,334,60,24,0,24208,1758540,5,5
fd00::202:2:2:2,18,0,0,10,1769046,167,168,60,12,47506,100,-64,174,335,60,64,0,24208,1769110,6,6
fd00::202:2:2:2,511,0,17,271,2053384,168,193,60,12,41575,100,-64,203,342,60,1116,0,21242,2054500,10,29
fd00::202:2:2:2,18,0,1,8,2063914,169,193,60,12,41575,100,-64,204,343,60,456,0,21242,2064370,11,30
fd00::202:2:2:2,18,0,1,8,2074445,170,193,60,12,41575,100,-64,205,344,60,75,0,21242,2074520,12,31
fd00::202:2:2:2,18,0,2,7,2084977,171,195,60,12,53424,100,-64,206,347,60,43,0,26817,2085020,11,30
fd00::202:2:2:2,18,0,2,7,2095508,172,197,60,12,42946,100,-64,207,350,60,2182,0,22418,2097690,10,29
fd00::202:2:2:2,18,0,2,7,2106039,173,198,60,12,45824,100,-64,208,352,60,121,0,22982,2106160,10,29
fd00::202:2:2:2,18,0,1,8,2116570,174,198,60,12,45824,100,-64,209,353,60,20,0,22982,2116590,11,30
fd00::202:2:2:2,18,0,0,8,2127101,175,198,60,12,45824,100,-64,210,354,60,59,0,22982,2127160,12,31
fd00::202:2:2:2,18,0,1,8,2137632,176,199,60,12,40814,100,-64,211,356,60,28,0,20582,2137660,12,31
fd00::202:2:2:2,18,0,1,8,2148163,177,201,60,12,35306,100,-64,212,359,60,67,0,17793,2148230,11,30
fd00::202:2:2:2,18,0,1,8,2158694,178,203,60,12,28394,100,-64,213,362,60,316,0,14407,2159010,10,29
fd00::202:2:2:2,18,0,1,8,2169225,179,205,60,12,14974,100,-64,214,365,60,75,0,7697,2169300,9,28
